cr_film_id,url,title,original_title,year,preferred_lang_class,display_name,candidate_count,failure_reasons,candidate_upload_ids
36598,https://ceskarepublika.wiki/filmy-online/zrudy,Zrůdy,Freaks,1932,CZ_DUB,Zrůdy (1932) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/zrudy-1932-cz-dabing-full-hd-drama-top-kvalita-136/c2603abbbb6ee4ba,c2603abbbb6ee4ba
30138,https://ceskarepublika.wiki/filmy-online/bourliva-dvacata-leta,Bouřlivá dvacátá léta,The Roaring Twenties,1939,CZ_DUB,Bouřlivá dvacátá léta (1939) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/bourliva-dvacata-leta-1939-cz-dabing-full-hd-crime-top-kvalita-37698/b986af2543971b06,b986af2543971b06
29922,https://ceskarepublika.wiki/filmy-online/silnice,Silnice,La Strada,1954,CZ_DUB,Silnice (1954) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/silnice-1954-cz-dabing-full-hd-drama-top-kvalita-405/d1ea4b2f44e9d39b,d1ea4b2f44e9d39b
12974,https://ceskarepublika.wiki/filmy-online/osudy-dobreho-vojaka-svejka,Osudy dobrého vojáka Švejka,Osudy dobrého vojáka Švejka,1956,CZ_DUB,Osudy dobrého vojáka Švejka (1956) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/osudy-dobreho-vojaka-svejka-1956-cz-dabing-full-hd-comedy-top-kvalita-257101/df181c9e14ff1194,df181c9e14ff1194
10775,https://ceskarepublika.wiki/filmy-online/dazdnik-svateho-petra,Dáždnik svätého Petra,Szent Péter esernyője,1958,CZ_DUB,Dáždnik svätého Petra (1958) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/dazdnik-svaeteho-petra-1958-cz-dabing/3278cbbb73dc9a26,3278cbbb73dc9a26
10779,https://ceskarepublika.wiki/filmy-online/vynalez-zkazy,Vynález zkázy,Vynález zkázy,1958,CZ_NATIVE,Vynález zkázy (1958) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/1958-vynalez-zkazy/10ad9d219c9ce4ac,10ad9d219c9ce4ac
10785,https://ceskarepublika.wiki/filmy-online/kral-sumavy,Král Šumavy,Král Šumavy,1959,CZ_NATIVE,Král Šumavy (1959) CZ,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/kral-sumavy-radovan-lukavsky-1959-cz-m-mp4/b565f09661f22851,b565f09661f22851
36679,https://ceskarepublika.wiki/filmy-online/marie-octobre,Marie-Octobre,,1959,CZ_DUB,Marie-Octobre (1959) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/marie-octobre-1959-cz-dabing-full-hd-drama-top-kvalita-76777/f4869fe7c84d0606,f4869fe7c84d0606
37144,https://ceskarepublika.wiki/filmy-online/korsicti-bratri,Korsičtí bratři,I fratelli Corsi,1961,CZ_DUB,Korsičtí bratři (1961) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/korsicti-bratri-1961-cz-dabing/06df6af7b56fa53d,06df6af7b56fa53d
10838,https://ceskarepublika.wiki/filmy-online/komisar-maigret-zuri,Komisař Maigret zuří,Maigret voit rouge,1963,CZ_DUB,Komisař Maigret zuří (1963) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/komisar-maigret-zuri-1963-cz-dabing-full-hd-crime-top-kvalita-76647/b86fe092023473f4,b86fe092023473f4
30075,https://ceskarepublika.wiki/filmy-online/pahorek,Pahorek,The Hill,1965,CZ_DUB,Pahorek (1965) CZ Dabing,1,oversize: 8927877063 B,68afc2162fc5e
10947,https://ceskarepublika.wiki/filmy-online/ukradena-vzducholod,Ukradená vzducholoď,Ukradená vzducholoď,1967,CZ_DUB,Ukradená vzducholoď (1967) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/ukradena-vzducholod-1966-czdab-mp4/d79acfe55d124bdb,d79acfe55d124bdb
30110,https://ceskarepublika.wiki/filmy-online/slepy-pistolnik,Slepý pistolník,Blindman,1971,CZ_DUB,Slepý pistolník (1971) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/slepy-pistolnik-1971-cz-dabing-mp4/1f7e13f5645e7f54,1f7e13f5645e7f54
11135,https://ceskarepublika.wiki/filmy-online/cerne-vanoce-1974,Černé Vánoce,Black Christmas,1974,CZ_NATIVE,Černé Vánoce (1974) CZ,1,oversize: 6626096744 B,6716af799f765
32822,https://ceskarepublika.wiki/filmy-online/hitlerova-kariera,Hitlerova kariéra,Hitler - Eine Karriere,1977,CZ_DUB,Hitlerova kariéra (1977) CZ Dabing,1,oversize: 6719175613 B,67929624d9216
34406,https://ceskarepublika.wiki/filmy-online/carodejuv-ucen-1978,Čarodějův učeň,,1978,CZ_DUB,Čarodějův učeň (1978) CZ Dabing,3,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/carodejuv-ucen-1977-czdab/b39dbfc86ba6b4c4 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/carodejuv-ucen-1977-dvd9/01332efbbd09cda3 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/carodejuv-ucen-krabat-karel-zeman-1977-ceskoslovensko/1b9c2540fcff1996,b39dbfc86ba6b4c4;1b9c2540fcff1996;01332efbbd09cda3
11294,https://ceskarepublika.wiki/filmy-online/elvis-presley,Elvis Presley,Elvis,1979,CZ_DUB,Elvis Presley (1979) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/elvis-presley-1979-cz-dabing-mp4/6eb5b4e8cda44342,6eb5b4e8cda44342
22495,https://ceskarepublika.wiki/filmy-online/valecnici,Válečníci,The Warriors,1979,CZ_NATIVE,Válečníci (1979) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/valecnici-the-warriors-1979-720p-brrip-x-264-srt-cz/5fc9129f8d5f1,5fc9129f8d5f1
11352,https://ceskarepublika.wiki/filmy-online/pohadka-o-honzikovi-a-marence,Pohádka o Honzíkovi a Mařence,Pohádka o Honzíkovi a Mařence,1980,CZ_DUB,Pohádka o Honzíkovi a Mařence (1980) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/pohadka-o-honzikovi-a-marence-1980-cz-dabing-full-hd-animation-top-kvalita-51902/3889e7310cfd9689,3889e7310cfd9689
11354,https://ceskarepublika.wiki/filmy-online/vojin-benjaminova,Vojín Benjaminová,Private Benjamin,1980,CZ_NATIVE,Vojín Benjaminová (1980) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/vojin-benjaminova-1980-cz-mp4/129e19274d02d6bc,129e19274d02d6bc
13444,https://ceskarepublika.wiki/filmy-online/zrada-a-chamtivost-na-planete-opic,Zrada a chamtivost na Planetě opic,Treachery and Greed on the Planet of the Apes,1980,CZ_DUB,Zrada a chamtivost na Planetě opic (1980) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/zrada-a-chamtivost-na-planete-opic-1980-cz-dabing-hd-mp4/cfe555d9b943bb0f,cfe555d9b943bb0f
11573,https://ceskarepublika.wiki/filmy-online/gulag,Gulag,Gulag,1985,CZ_DUB,Gulag (1985) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/gulag-drama-1985-cz-dabing-avi-mp4/60a521d586d6acdc,60a521d586d6acdc
22766,https://ceskarepublika.wiki/filmy-online/vitezove,Vítězové,American Flyers,1985,CZ_NATIVE,Vítězové (1985) CZ,1,oversize: 7005951277 B,63e91b98e166a
11735,https://ceskarepublika.wiki/filmy-online/beetlejuice,Beetlejuice,Beetlejuice,1988,CZ_DUB,Beetlejuice (1988) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/beetlejuice-1988-cz-dab-2160p/cd9387ac154fd215,cd9387ac154fd215
2491,https://ceskarepublika.wiki/filmy-online/blazniva-strela-2-a-12-vune-strachu,Bláznivá střela 2 a ½: Vůně strachu,The Naked Gun 2½: The Smell of Fear,1991,CZ_DUB,Bláznivá střela 2 a ½: Vůně strachu (1991) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/blazniva-strela-2-a-1-2-vune-strachu-1991-hd-cz-mp4/0fa507e3c21048c3,0fa507e3c21048c3
23472,https://ceskarepublika.wiki/filmy-online/lanari,Lanaři,Blue Chips,1994,CZ_DUB,Lanaři (1994) CZ Dabing,1,oversize: 6967400252 B,633e1e93c61ec
12188,https://ceskarepublika.wiki/filmy-online/scanner-policajt,Scanner: Policajt,Scanner Cop,1994,CZ_DUB,Scanner: Policajt (1994) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/policajt-v-beverly-hills-3-1994-en-cz-dabing-uhdrdv/68dbab1817155,68dbab1817155
34434,https://ceskarepublika.wiki/filmy-online/rozum-a-cit,Rozum a cit,Sense and Sensibility,1995,CZ_NATIVE,Rozum a cit (1995) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/rozum-a-cit-sense-and-sensibility-1995-720p-bluray-h264-aac-ceske-titulky/756ea48e71c03703,756ea48e71c03703
12308,https://ceskarepublika.wiki/filmy-online/jaguar,Jaguár,Le Jaguar,1996,CZ_DUB,Jaguár (1996) CZ Dabing,1,oversize: 7014247902 B,67b71af90ce90
30405,https://ceskarepublika.wiki/filmy-online/bratri-ve-zbrani,Bratři ve zbrani,My Brother's War,1997,CZ_DUB,Bratři ve zbrani (1997) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/bratri-ve-zbrani-1997-cz-dabing-mp4/e7739fc427b14838,e7739fc427b14838
34969,https://ceskarepublika.wiki/filmy-online/snehurka-pribeh-hruzy,Sněhurka - Příběh hrůzy,Snow White: A Tale of Terror,1997,CZ_DUB,Sněhurka - Příběh hrůzy (1997) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/snehurka-pribeh-hruzy-1997-czdab-avi/5dd3b8549415c49b,5dd3b8549415c49b
8075,https://ceskarepublika.wiki/filmy-online/godzilla-1998,Godzilla,Godzilla,1998,CZ_DUB,Godzilla (1998) CZ Dabing,1,oversize: 7205861403 B,68d7c238194e6
33020,https://ceskarepublika.wiki/filmy-online/tri-kralove,Tři králové,Three Kings,1999,CZ_NATIVE,Tři králové (1999) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/tri-kralove-1999-uhdrdv-cz-en/68f606e2de9fc,68f606e2de9fc
4297,https://ceskarepublika.wiki/filmy-online/po-cem-zeny-touzi,Po čem ženy touží,What Women Want,2000,CZ_DUB,Po čem ženy touží (2000) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/po-cem-zeny-touzi-2000-cz-dabing-1080p/120f5e43f27781bd,120f5e43f27781bd
19455,https://ceskarepublika.wiki/filmy-online/scooby-doo,Scooby-Doo,Scooby-Doo,2002,CZ_DUB,Scooby-Doo (2002) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/scooby-doo-3-2002-cz-dabing-2k/690166678c412,690166678c412
29965,https://ceskarepublika.wiki/filmy-online/spy-kids-2-ostrov-ztracenych-snu,Spy Kids 2: Ostrov ztracených snů,Spy Kids 2: The Island of Lost Dreams,2002,CZ_DUB,Spy Kids 2: Ostrov ztracených snů (2002) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/spy-kids-2-ostrov-ztracenych-snu-2002-cz-dabing-mp4/8c2d331cd812676d,8c2d331cd812676d
13479,https://ceskarepublika.wiki/filmy-online/skritek-2005,Skřítek,Skřítek,2005,CZ_NATIVE,Skřítek (2005) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/skritek-2005-cz-mp4/505d7dbd1cc98b29,505d7dbd1cc98b29
806,https://ceskarepublika.wiki/filmy-online/300-bitva-u-thermopyl,300: Bitva u Thermopyl,300,2006,CZ_DUB,300: Bitva u Thermopyl (2006) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/300-bitva-u-thermopyl-2006-cz-dab-1080p-mkv/d49028a821a30d89 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/300-bitva-u-thermopyl-2006-cz-dab-1080p/5e72e6f4eaca29bc,d49028a821a30d89;5e72e6f4eaca29bc
3517,https://ceskarepublika.wiki/filmy-online/andele-a-demoni,Andělé a démoni,Angels & Demons,2009,CZ_DUB,Andělé a démoni (2009) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/andele-a-demoni-2009-cz-dab-1080p/42fffe34d62433db | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/andele-a-demoni-2009-cz-dab-1080p/58a299e00d4c5cf3,42fffe34d62433db;58a299e00d4c5cf3
5400,https://ceskarepublika.wiki/filmy-online/pripad-cislo-39,Případ číslo 39,Case 39,2009,CZ_NATIVE,Případ číslo 39 (2009) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/pripad-cislo-39-2009-fhd-cz-en/df6480b662925887,df6480b662925887
3102,https://ceskarepublika.wiki/filmy-online/kniha-preziti,Kniha přežití,The Book of Eli,2010,CZ_DUB,Kniha přežití (2010) CZ Dabing,3,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/kniha-preziti-2010-cz-dab-1080p/52922fc1c38fa7dc | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/kniha-preziti-2010-cz-en/32054160f891956d | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/kniha-preziti-2010-up-uhd-r-cz-en-mkv/bde2b7a0f44624e7,52922fc1c38fa7dc;32054160f891956d;bde2b7a0f44624e7
5539,https://ceskarepublika.wiki/filmy-online/londynsky-gangster,Londýnský gangster,London Boulevard,2010,CZ_DUB,Londýnský gangster (2010) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/londynsky-gangster-cz-dabing-mp4/0d299b86b9c5455b | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/londynsky-gangster-cz-dabing/4f4e37f338d6864d,0d299b86b9c5455b;4f4e37f338d6864d
15536,https://ceskarepublika.wiki/filmy-online/jak-vycvicit-draka-lexikon-draku,Jak vycvičit draka: Lexikon draků,Book of Dragons,2011,CZ_DUB,Jak vycvičit draka: Lexikon draků (2011) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/jak-vycvicit-draka-lexikon-draku-2011-cz-dab-720p-mp4/c501e6701d59f4fd,c501e6701d59f4fd
30264,https://ceskarepublika.wiki/filmy-online/lov-lososu-v-jemenu,Lov lososů v Jemenu,Salmon Fishing in the Yemen,2011,CZ_DUB,Lov lososů v Jemenu (2011) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/lov-lososu-v-jemenu-2012-en-cz-dabing/4484ebdfd78c6f08,4484ebdfd78c6f08
1553,https://ceskarepublika.wiki/filmy-online/atlas-mraku,Atlas mraků,Cloud Atlas,2012,CZ_DUB,Atlas mraků (2012) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/atlas-mraku-cloud-atlas-2012-cz-dabing/33923bb624f4d19f,33923bb624f4d19f
7424,https://ceskarepublika.wiki/filmy-online/cesta-na-tajuplny-ostrov-2,Cesta na tajuplný ostrov 2,Journey 2: The Mysterious Island,2012,CZ_DUB,Cesta na tajuplný ostrov 2 (2012) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/cesta-na-tajuplny-ostrov-2-2012-cz-dab-1080p-avi/5b2e7dc1ef5e389d | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/cesta-na-tajuplny-ostrov-2-2012-cz-dab-1080p/71223833180ca162,71223833180ca162;5b2e7dc1ef5e389d
30283,https://ceskarepublika.wiki/filmy-online/hemingway-a-gellhornova,Hemingway a Gellhornová,Hemingway & Gellhorn,2012,CZ_DUB,Hemingway a Gellhornová (2012) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/hemingway-a-gellhornova-2012-en-cz-dabing-mp4/6c9bff562b6ad7f3,6c9bff562b6ad7f3
31690,https://ceskarepublika.wiki/filmy-online/kraluv-dvojnik,Králův dvojník,"광해, 왕이 된 남자",2012,CZ_DUB,Králův dvojník (2012) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/kraluv-dvojnik-2012-cz-dabing-full-hd-drama-top-kvalita-133200/b99542b31c5c9c7f,b99542b31c5c9c7f
14976,https://ceskarepublika.wiki/filmy-online/temny-priliv,Temný příliv,Dark Tide,2012,CZ_DUB,Temný příliv (2012) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/temny-priliv-2012-cz-dabing/7f8debc8ef756d24 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/temny-priliv-2012-cz-dabing/8472dd628ffe5a19,8472dd628ffe5a19;7f8debc8ef756d24
8342,https://ceskarepublika.wiki/filmy-online/upirky,Upírky,Vamps,2012,CZ_DUB,Upírky (2012) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/upirky-2012-cz-dabing/710d51910c58fa4e | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/upirky-2012-cz-dabing/9316d48866eb7ee4,9316d48866eb7ee4;710d51910c58fa4e
16155,https://ceskarepublika.wiki/filmy-online/bidnici-od-romanu-k-filmu-a-muzikalu,Bídníci: od románu k filmu a muzikálu,Les Misérables: The History of the World's Greatest Story,2013,CZ_NATIVE,Bídníci: od románu k filmu a muzikálu (2013) CZ,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/bidnici-od-romanu-k-filmu-a-muzikalu-2013-cz-dabing-mp4/4be41ffca36603db,4be41ffca36603db
15379,https://ceskarepublika.wiki/filmy-online/dokonala-prilezitost,Dokonalá příležitost,Fatal Performance,2013,CZ_DUB,Dokonalá příležitost (2013) CZ Dabing,2,resolve_failed: no videos.push() blocks found at https://prehraj.to/dokonala-prilezitost-nicholle-tom-david-palffy-steve-bacic-2013-thriller-bdrip-1080p-cz-dabing-mp4/001a68b7a072393c | resolve_failed: no videos.push() blocks found at https://prehraj.to/dokonala-prilezitost-nicholle-tom-david-palffy-steve-bacic-2013-thriller-bdrip-1080p-cz-dabing-mp4/5d009e1fd8b49a6b,5d009e1fd8b49a6b;001a68b7a072393c
4151,https://ceskarepublika.wiki/filmy-online/gagarin-prvni-ve-vesmiru,Gagarin: První ve vesmíru,Гагарин. Первый в космосе,2013,CZ_NATIVE,Gagarin: První ve vesmíru (2013) CZ,1,oversize: 6630906517 B,654786db64bc8
4745,https://ceskarepublika.wiki/filmy-online/dej-mi-domov,Gimme Shelter,Gimme Shelter,2013,CZ_DUB,Gimme Shelter (2013) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/gimme-shelter-2013-cz-dabing-hd-mp4/1bd36444d6ed6ebe,1bd36444d6ed6ebe
6445,https://ceskarepublika.wiki/filmy-online/kridla-vanoc,Křídla Vánoc,Křídla Vánoc,2013,CZ_NATIVE,Křídla Vánoc (2013) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/kridla-vanoc-2013-cz-mp4/47cd82cc483c42b2,47cd82cc483c42b2
15207,https://ceskarepublika.wiki/filmy-online/nepoucitelni,Nepoučitelní,Life of Crime,2013,CZ_NATIVE,Nepoučitelní (2013) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/nepoucitelni-2013-cz-dabing-mp4/d7022f4998e1d9e0,d7022f4998e1d9e0
15912,https://ceskarepublika.wiki/filmy-online/on-the-job,On the Job,On the Job,2013,CZ_DUB,On the Job (2013) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/on-the-job-2013-cz-dabing/56b660306d8ddd4f,56b660306d8ddd4f
30363,https://ceskarepublika.wiki/filmy-online/otec-mrazik,Otec Mrazík,Father Frismas,2013,CZ_DUB,Otec Mrazík (2013) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/otec-mrazik-2013-cz-dabing-mp4/8ed54a9053f1ea2c,8ed54a9053f1ea2c
16214,https://ceskarepublika.wiki/filmy-online/sam-mezi-vsemi,Sám mezi všemi,Nichts mehr wie vorher,2013,CZ_DUB,Sám mezi všemi (2013) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/sam-mezi-vsemi-2013-cz-dabing-mp4/969e252b6c9eb6ce,969e252b6c9eb6ce
5726,https://ceskarepublika.wiki/filmy-online/300-vzestup-rise,300: Vzestup říše,300: Rise of an Empire,2014,CZ_DUB,300: Vzestup říše (2014) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/300-vzestup-rise-2014-cz-dab-1080p/f267254ba1c084ce,f267254ba1c084ce
16230,https://ceskarepublika.wiki/filmy-online/dum-s-tajemstvim,Dům s tajemstvím,House of Secrets,2014,CZ_DUB,Dům s tajemstvím (2014) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/dum-s-tajemstvim-2014-cz-dabing-mp4/5e396dc35ec513bf,5e396dc35ec513bf
30368,https://ceskarepublika.wiki/filmy-online/lepsi-ted-nez-nikdy,Lepší teď než nikdy,And So It Goes,2014,CZ_DUB,Lepší teď než nikdy (2014) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/lepsi-ted-nez-nikdy-2014-cz-dabing-mp4/643d2fd905c582a9,643d2fd905c582a9
7762,https://ceskarepublika.wiki/filmy-online/vejska,Vejška,Vejška,2014,CZ_NATIVE,Vejška (2014) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/vejska-cr-2014/4a5997d6ed1e01e7,4a5997d6ed1e01e7
3506,https://ceskarepublika.wiki/filmy-online/zustan-se-mnou,Zůstaň se mnou,If I Stay,2014,CZ_DUB,Zůstaň se mnou (2014) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/zustan-se-mnou-2014-cz-dabing-hd-1080p/68f32cac33bfe,68f32cac33bfe
30434,https://ceskarepublika.wiki/filmy-online/bessie,Bessie,,2015,CZ_DUB,Bessie (2015) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/bessie-2015-en-cz-dabing-mp4/c0f6352c80cec18f,c0f6352c80cec18f
30418,https://ceskarepublika.wiki/filmy-online/flintstoneovi-wwe-mela-doby-kamenne,Flintstoneovi & WWE: Mela doby kamenné,The Flintstones and WWE: Stone Age SmackDown!,2015,CZ_DUB,Flintstoneovi & WWE: Mela doby kamenné (2015) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/flintstoneovi-wwe-mela-doby-kamenne-2015-en-cz-dabing-mp4/d1b8b48c5a3cc7c1,d1b8b48c5a3cc7c1
16527,https://ceskarepublika.wiki/filmy-online/rozdeleny-adam,Rozdělený Adam,Splitting Adam,2015,CZ_NATIVE,Rozdělený Adam (2015) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/rozdeleny-adam-2015-cz-dabing-hd-mp4/475f3640648847f5,475f3640648847f5
16595,https://ceskarepublika.wiki/filmy-online/animovany-zivot,Animovaný život,"Life, Animated",2016,CZ_NATIVE,Animovaný život (2016) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/zivot-je-zivot-2015-cz-film/9b0caefa1d093445,9b0caefa1d093445
31457,https://ceskarepublika.wiki/filmy-online/godzilla-vs-gomora-part-3,Godzilla Vs Gomora - Part 3,,2016,CZ_DUB,Godzilla Vs Gomora - Part 3 (2016) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/godzilla-vs-gomora-part-3-2016-en-cz-dabing-mp4/f9eef40d48f0c8f7,f9eef40d48f0c8f7
5620,https://ceskarepublika.wiki/filmy-online/inferno,Inferno,Inferno,2016,CZ_DUB,Inferno (2016) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/inferno-2016-cz-dab-1080p/c6bfdb761b58cbcb,c6bfdb761b58cbcb
